Year,zip,Borough,Neighborhood,Percentage,Number
12,10001,MANHATTAN,CHELSEA AND CLINTON,0.017141533,3295.833333
12,10002,MANHATTAN,LOWER EAST SIDE,0.030345147,18588.23529
12,10003,MANHATTAN,LOWER EAST SIDE,0.030345147,13011.76471
12,10004,MANHATTAN,LOWER MANHATTAN,0.005559416,895.4674221
12,10005,MANHATTAN,LOWER MANHATTAN,0.005559416,0
12,10006,MANHATTAN,LOWER MANHATTAN,0.005559416,1790.934844
12,10007,MANHATTAN,LOWER MANHATTAN,0.005559416,3134.135977
12,10009,MANHATTAN,LOWER EAST SIDE,0.030345147,20911.76471
12,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008107482,3581.869688
12,10011,MANHATTAN,CHELSEA AND CLINTON,0.017141533,10829.16667
12,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.017488997,4484.615385
12,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.017488997,10600
12,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.017488997,13861.53846
12,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008107482,6716.005666
12,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008107482,1790.934844
12,10018,MANHATTAN,CHELSEA AND CLINTON,0.017141533,3766.666667
12,10019,MANHATTAN,CHELSEA AND CLINTON,0.017141533,8004.166667
12,10021,MANHATTAN,UPPER EAST SIDE,0.020152884,6933.333333
12,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008107482,5372.804533
12,10023,MANHATTAN,UPPER WEST SIDE,0.047370859,8050
12,10024,MANHATTAN,UPPER WEST SIDE,0.047370859,15525
12,10025,MANHATTAN,UPPER WEST SIDE,0.047370859,16675
12,10026,MANHATTAN,CENTRAL HARLEM,0.042390549,8997.727273
12,10027,MANHATTAN,CENTRAL HARLEM,0.042390549,18481.81818
12,10028,MANHATTAN,UPPER EAST SIDE,0.020152884,7466.666667
12,10029,MANHATTAN,EAST HARLEM,0.014246004,14775.21246
12,10030,MANHATTAN,CENTRAL HARLEM,0.042390549,8997.727273
12,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.053046097,17250
12,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.053046097,16000
12,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.053046097,8750
12,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.053046097,8000
12,10035,MANHATTAN,EAST HARLEM,0.014246004,15670.67989
12,10036,MANHATTAN,CHELSEA AND CLINTON,0.017141533,12712.5
12,10037,MANHATTAN,CENTRAL HARLEM,0.042390549,2675
12,10038,MANHATTAN,LOWER MANHATTAN,0.005559416,5820.538244
12,10039,MANHATTAN,CENTRAL HARLEM,0.042390549,3404.545455
12,10040,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.053046097,5250
12,10065,MANHATTAN,UPPER EAST SIDE,0.020152884,8000
12,10069,MANHATTAN,UPPER WEST SIDE,#N/A,0
12,10075,MANHATTAN,UPPER EAST SIDE,0.020152884,17066.66667
12,10128,MANHATTAN,UPPER EAST SIDE,0.020152884,20266.66667
12,10162,MANHATTAN,UPPER WEST SIDE,#N/A,447.733711
12,10280,MANHATTAN,LOWER MANHATTAN,0.005559416,895.4674221
12,10301,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.013551077,10297.87535
12,10302,STATEN ISLAND,PORT RICHMOND,0.009265694,8059.206799
12,10303,STATEN ISLAND,PORT RICHMOND,0.009265694,9850.141643
12,10304,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.013551077,10745.60907
12,10305,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.013551077,10745.60907
12,10306,STATEN ISLAND,SOUTH SHORE,0.01876303,17480
12,10307,STATEN ISLAND,SOUTH SHORE,0.01876303,3680
12,10308,STATEN ISLAND,SOUTH SHORE,0.01876303,8740
12,10309,STATEN ISLAND,SOUTH SHORE,0.01876303,13340
12,10310,STATEN ISLAND,PORT RICHMOND,0.009265694,6716.005666
12,10312,STATEN ISLAND,SOUTH SHORE,0.01876303,19320
12,10314,STATEN ISLAND,MID ISLAND,0.007180913,25073.08782
12,10451,BRONX,HIGH BRIDGE AND MORRISANIA,0.048529071,11106.38298
12,10452,BRONX,HIGH BRIDGE AND MORRISANIA,0.048529071,13882.97872
12,10453,BRONX,CENTRAL BRONX,0.04053741,15446.15385
12,10454,BRONX,HUNTS POINT AND MOTT HAVEN,0.024322446,5348.148148
12,10455,BRONX,HUNTS POINT AND MOTT HAVEN,0.024322446,9851.851852
12,10456,BRONX,HIGH BRIDGE AND MORRISANIA,0.048529071,27765.95745
12,10457,BRONX,CENTRAL BRONX,0.04053741,21721.15385
12,10458,BRONX,BRONX PARK AND FORDHAM,0.053741024,28127.45098
12,10459,BRONX,HUNTS POINT AND MOTT HAVEN,0.024322446,16325.92593
12,10460,BRONX,CENTRAL BRONX,0.04053741,10377.88462
12,10461,BRONX,SOUTHEAST BRONX,0.030576789,10150
12,10462,BRONX,SOUTHEAST BRONX,0.030576789,14379.16667
12,10463,BRONX,KINGSBRIDGE AND RIVERDALE,0.006138522,14327.47875
12,10464,BRONX,SOUTHEAST BRONX,0.030576789,422.9166667
12,10465,BRONX,SOUTHEAST BRONX,0.030576789,9727.083333
